Region,Poblacion,Fecha,PCR Realizados,Region ID,Tasa
Arica y Parinacota,252110,2020/05/08,92.0,15,36.49200745706239
Tarapacá,382773,2020/05/08,169.0,1,44.15149448890073
Antofagasta,691854,2020/05/08,291.0,2,42.060897241325485
Atacama,314709,2020/05/08,167.0,3,53.06489487113492
Coquimbo,836096,2020/05/08,59.0,4,7.056605939987753
Valparaíso,1960170,2020/05/08,573.0,5,29.232158435237757
Metropolitana,8125072,2020/05/08,7839.0,13,96.47914504634544
O’Higgins,991063,2020/05/08,150.0,6,15.13526385305475
Maule,1131939,2020/05/08,181.0,7,15.990260959291975
Ñuble,511551,2020/05/08,110.0,16,21.503232326786577
Biobío,1663696,2020/05/08,647.0,8,38.88931631740414
Araucanía,1014343,2020/05/08,391.0,9,38.54711867681839
Los Ríos,405835,2020/05/08,127.0,14,31.293505981494942
Los Lagos,891440,2020/05/08,849.0,10,95.23916360046665
Aysén,107297,2020/05/08,32.0,11,29.823760216967855
Magallanes,178362,2020/05/08,58.0,12,32.518137271391886
Arica y Parinacota,252110,2020/05/09,127.0,15,50.37483638094482
Tarapacá,382773,2020/05/09,184.0,1,48.07026618909902
Antofagasta,691854,2020/05/09,215.0,2,31.07592064221642
Atacama,314709,2020/05/09,111.0,3,35.27067862692201
Coquimbo,836096,2020/05/09,66.0,4,7.8938303735456214
Valparaíso,1960170,2020/05/09,588.0,5,29.997398184851313
Metropolitana,8125072,2020/05/09,8345.0,13,102.70678216759187
O’Higgins,991063,2020/05/09,131.0,6,13.218130431667815
Maule,1131939,2020/05/09,238.0,7,21.02586800172094
Ñuble,511551,2020/05/09,156.0,16,30.495493117988236
Biobío,1663696,2020/05/09,847.0,8,50.910743308873734
Araucanía,1014343,2020/05/09,174.0,9,17.15396074109054
Los Ríos,405835,2020/05/09,135.0,14,33.264750452770215
Los Lagos,891440,2020/05/09,537.0,10,60.23961231266266
Aysén,107297,2020/05/09,35.0,11,32.61973773730859
Magallanes,178362,2020/05/09,54.0,12,30.275507114744173
Arica y Parinacota,252110,2020/05/10,74.0,15,29.352266867637145
Tarapacá,382773,2020/05/10,185.0,1,48.33151763577891
Antofagasta,691854,2020/05/10,419.0,2,60.56191046087758
Atacama,314709,2020/05/10,101.0,3,32.093140011883996
Coquimbo,836096,2020/05/10,370.0,4,44.253291488058785
Valparaíso,1960170,2020/05/10,489.0,5,24.946815837401857
Metropolitana,8125072,2020/05/10,7691.0,13,94.65762272629706
O’Higgins,991063,2020/05/10,269.0,6,27.142573176478184
Maule,1131939,2020/05/10,446.0,7,39.40141650742664
Ñuble,511551,2020/05/10,196.0,16,38.31485032772881
Biobío,1663696,2020/05/10,715.0,8,42.976601494503804
Araucanía,1014343,2020/05/10,372.0,9,36.67398503267633
Los Ríos,405835,2020/05/10,147.0,14,36.22161715968312
Los Lagos,891440,2020/05/10,1146.0,10,128.55604415328008
Aysén,107297,2020/05/10,102.0,11,95.06323569158504
Magallanes,178362,2020/05/10,58.0,12,32.518137271391886
Arica y Parinacota,252110,2020/05/11,70.0,15,27.765657847764864
Tarapacá,382773,2020/05/11,275.0,1,71.84414783696865
Antofagasta,691854,2020/05/11,245.0,2,35.41209561554894
Atacama,314709,2020/05/11,133.0,3,42.261263580005654
Coquimbo,836096,2020/05/11,95.0,4,11.362331598285364
Valparaíso,1960170,2020/05/11,552.0,5,28.160822785778784
Metropolitana,8125072,2020/05/11,8498.0,13,104.58984240385809
O’Higgins,991063,2020/05/11,183.0,6,18.465021900726796
Maule,1131939,2020/05/11,333.0,7,29.418546405769217
Ñuble,511551,2020/05/11,142.0,16,27.758718094579034
Biobío,1663696,2020/05/11,386.0,8,23.20135409353632
Araucanía,1014343,2020/05/11,576.0,9,56.785525211885926
Los Ríos,405835,2020/05/11,64.0,14,15.769955770202177
Los Lagos,891440,2020/05/11,1670.0,10,187.3373418289509
Aysén,107297,2020/05/11,93.0,11,86.67530313056282
Magallanes,178362,2020/05/11,58.0,12,32.518137271391886
Arica y Parinacota,252110,2020/05/12,83.0,15,32.92213716234977
Tarapacá,382773,2020/05/12,0.0,1,0.0
Antofagasta,691854,2020/05/12,285.0,2,41.19366224665898
Atacama,314709,2020/05/12,86.0,3,27.326832089326967
Coquimbo,836096,2020/05/12,48.0,4,5.740967544396816
Valparaíso,1960170,2020/05/12,518.0,5,26.426279353321394
Metropolitana,8125072,2020/05/12,6424.0,13,79.06391475669385
O’Higgins,991063,2020/05/12,0.0,6,0.0
Maule,1131939,2020/05/12,245.0,7,21.644275884124497
Ñuble,511551,2020/05/12,180.0,16,35.18710744383258
Biobío,1663696,2020/05/12,522.0,8,31.375924447735642
Araucanía,1014343,2020/05/12,90.0,9,8.872738314357175
Los Ríos,405835,2020/05/12,105.0,14,25.872583685487946
Los Lagos,891440,2020/05/12,644.0,10,72.24266355559544
Aysén,107297,2020/05/12,0.0,11,0.0
Magallanes,178362,2020/05/12,53.0,12,29.714849575582242
Arica y Parinacota,252110,2020/05/13,90.0,15,35.69870294712625
Tarapacá,382773,2020/05/13,6.0,1,1.5675086800793159
Antofagasta,691854,2020/05/13,94.0,2,13.586681583108573
Atacama,314709,2020/05/13,0.0,3,0.0
Coquimbo,836096,2020/05/13,0.0,4,0.0
Valparaíso,1960170,2020/05/13,298.0,5,15.202763025655937
Metropolitana,8125072,2020/05/13,7173.0,13,88.28229460612779
O’Higgins,991063,2020/05/13,164.0,6,16.54788847933986
Maule,1131939,2020/05/13,329.0,7,29.065170472967182
Ñuble,511551,2020/05/13,0.0,16,0.0
Biobío,1663696,2020/05/13,1342.0,8,80.66377511276099
Araucanía,1014343,2020/05/13,437.0,9,43.08207381526762
Los Ríos,405835,2020/05/13,108.0,14,26.611800362216172
Los Lagos,891440,2020/05/13,194.0,10,21.76254150587813
Aysén,107297,2020/05/13,20.0,11,18.63985013560491
Magallanes,178362,2020/05/13,155.0,12,86.90191857009901
Arica y Parinacota,252110,2020/05/14,140.0,15,55.53131569552973
Tarapacá,382773,2020/05/14,274.0,1,71.58289639028875
Antofagasta,691854,2020/05/14,283.0,2,40.90458391510348
Atacama,314709,2020/05/14,4.0,3,1.2710154460152077
Coquimbo,836096,2020/05/14,80.0,4,9.56827924066136
Valparaíso,1960170,2020/05/14,301.0,5,15.35581097557865
Metropolitana,8125072,2020/05/14,7563.0,13,93.08225207112011
O’Higgins,991063,2020/05/14,204.0,6,20.583958840154462
Maule,1131939,2020/05/14,234.0,7,20.67249206891891
Ñuble,511551,2020/05/14,226.0,16,44.17936823503424
Biobío,1663696,2020/05/14,433.0,8,26.026389436531673
Araucanía,1014343,2020/05/14,480.0,9,47.32127100990493
Los Ríos,405835,2020/05/14,107.0,14,26.36539480330676
Los Lagos,891440,2020/05/14,933.0,10,104.6621197164139
Aysén,107297,2020/05/14,110.0,11,102.51917574582701
Magallanes,178362,2020/05/14,130.0,12,72.88548009105078
Arica y Parinacota,252110,2020/05/15,107.0,15,42.44179128158344
Tarapacá,382773,2020/05/15,346.0,1,90.39300055124055
Antofagasta,691854,2020/05/15,416.0,2,60.12829296354433
Atacama,314709,2020/05/15,197.0,3,62.597510716248976
Coquimbo,836096,2020/05/15,253.0,4,30.259683098591548
Valparaíso,1960170,2020/05/15,1097.0,5,55.96453368840457
Metropolitana,8125072,2020/05/15,9948.0,13,122.43583810703461
O’Higgins,991063,2020/05/15,148.0,6,14.933460335014022
Maule,1131939,2020/05/15,241.0,7,21.290899951322466
Ñuble,511551,2020/05/15,183.0,16,35.77355923456312
Biobío,1663696,2020/05/15,1530.0,8,91.9639164847424
Araucanía,1014343,2020/05/15,452.0,9,44.56086353432714
Los Ríos,405835,2020/05/15,218.0,14,53.71641184225116
Los Lagos,891440,2020/05/15,921.0,10,103.31598312842142
Aysén,107297,2020/05/15,38.0,11,35.41571525764933
Magallanes,178362,2020/05/15,0.0,12,0.0
Arica y Parinacota,252110,2020/05/16,0.0,15,0.0
Tarapacá,382773,2020/05/16,268.0,1,70.01538771020944
Antofagasta,691854,2020/05/16,5.0,2,0.7226958288887539
Atacama,314709,2020/05/16,311.0,3,98.82145092768239
Coquimbo,836096,2020/05/16,92.0,4,11.003521126760564
Valparaíso,1960170,2020/05/16,213.0,5,10.866404444512465
Metropolitana,8125072,2020/05/16,6555.0,13,80.67620816160152
O’Higgins,991063,2020/05/16,0.0,6,0.0
Maule,1131939,2020/05/16,0.0,7,0.0
Ñuble,511551,2020/05/16,0.0,16,0.0
Biobío,1663696,2020/05/16,70.0,8,4.207499447014358
Araucanía,1014343,2020/05/16,417.0,9,41.11035418985491
Los Ríos,405835,2020/05/16,81.0,14,19.95885027166213
Los Lagos,891440,2020/05/16,718.0,10,80.54383918154896
Aysén,107297,2020/05/16,32.0,11,29.823760216967855
Magallanes,178362,2020/05/16,51.0,12,28.593534497258382
Arica y Parinacota,252110,2020/05/17,106.0,15,42.04513902661537
Tarapacá,382773,2020/05/17,374.0,1,97.70804105827737
Antofagasta,691854,2020/05/17,299.0,2,43.21721056754749
Atacama,314709,2020/05/17,66.0,3,20.97175485925093
Coquimbo,836096,2020/05/17,180.0,4,21.528628291488058
Valparaíso,1960170,2020/05/17,839.0,5,42.80240999505145
Metropolitana,8125072,2020/05/17,7371.0,13,90.71919608835466
O’Higgins,991063,2020/05/17,168.0,6,16.95149551542132
Maule,1131939,2020/05/17,371.0,7,32.775617767388525
Ñuble,511551,2020/05/17,345.0,16,67.44195593401244
Biobío,1663696,2020/05/17,1544.0,8,92.80541637414528
Araucanía,1014343,2020/05/17,410.0,9,40.420252320960465
Los Ríos,405835,2020/05/17,29.0,14,7.1457612083728606
Los Lagos,891440,2020/05/17,675.0,10,75.72018307457597
Aysén,107297,2020/05/17,66.0,11,61.511505447496205
Magallanes,178362,2020/05/17,328.0,12,183.89567284511276
Arica y Parinacota,252110,2020/05/18,135.0,15,53.54805442068938
Tarapacá,382773,2020/05/18,284.0,1,74.19541085708762
Antofagasta,691854,2020/05/18,345.0,2,49.866012193324025
Atacama,314709,2020/05/18,143.0,3,45.43880219504368
Coquimbo,836096,2020/05/18,205.0,4,24.518715554194735
Valparaíso,1960170,2020/05/18,545.0,5,27.80371090262579
Metropolitana,8125072,2020/05/18,11992.0,13,147.59253825689177
O’Higgins,991063,2020/05/18,349.0,6,35.214713898107384
Maule,1131939,2020/05/18,270.0,7,23.852875464137202
Ñuble,511551,2020/05/18,834.0,16,163.03359782309096
Biobío,1663696,2020/05/18,1009.0,8,60.648099171964105
Araucanía,1014343,2020/05/18,211.0,9,20.801642048104043
Los Ríos,405835,2020/05/18,77.0,14,18.973228036024494
Los Lagos,891440,2020/05/18,779.0,10,87.38670017051064
Aysén,107297,2020/05/18,14.0,11,13.047895094923438
Magallanes,178362,2020/05/18,323.0,12,181.0923851493031
Arica y Parinacota,252110,2020/05/19,78.0,15,30.93887588750942
Tarapacá,382773,2020/05/19,269.0,1,70.27663915688933
Antofagasta,691854,2020/05/19,290.0,2,41.91635807554773
Atacama,314709,2020/05/19,98.0,3,31.139878427372587
Coquimbo,836096,2020/05/19,308.0,4,36.83787507654623
Valparaíso,1960170,2020/05/19,529.0,5,26.98745516970467
Metropolitana,8125072,2020/05/19,10754.0,13,132.35575020135207
O’Higgins,991063,2020/05/19,143.0,6,14.428951539912195
Maule,1131939,2020/05/19,892.0,7,78.80283301485328
Ñuble,511551,2020/05/19,0.0,16,0.0
Biobío,1663696,2020/05/19,1119.0,8,67.25988401727238
Araucanía,1014343,2020/05/19,642.0,9,63.29219997574785
Los Ríos,405835,2020/05/19,264.0,14,65.05106755208398
Los Lagos,891440,2020/05/19,705.0,10,79.08552454455712
Aysén,107297,2020/05/19,0.0,11,0.0
Magallanes,178362,2020/05/19,98.0,12,54.94443883786905
Arica y Parinacota,252110,2020/05/20,93.0,15,36.88865971203046
Tarapacá,382773,2020/05/20,121.0,1,31.611425048266206
Antofagasta,691854,2020/05/20,386.0,2,55.792117990211814
Atacama,314709,2020/05/20,86.0,3,27.326832089326967
Coquimbo,836096,2020/05/20,128.0,4,15.309246785058175
Valparaíso,1960170,2020/05/20,616.0,5,31.425845717463282
Metropolitana,8125072,2020/05/20,7285.0,13,89.66074392940764
O’Higgins,991063,2020/05/20,143.0,6,14.428951539912195
Maule,1131939,2020/05/20,477.0,7,42.14007998664239
Ñuble,511551,2020/05/20,657.0,16,128.4329421699889
Biobío,1663696,2020/05/20,1043.0,8,62.69174176051394
Araucanía,1014343,2020/05/20,406.0,9,40.02590839587793
Los Ríos,405835,2020/05/20,50.0,14,12.32027794547045
Los Lagos,891440,2020/05/20,577.0,10,64.72673427263753
Aysén,107297,2020/05/20,68.0,11,63.37549046105669
Magallanes,178362,2020/05/20,333.0,12,186.6989605409224
Arica y Parinacota,252110,2020/05/21,88.0,15,34.905398437190115
Tarapacá,382773,2020/05/21,361.0,1,94.31177225143884
Antofagasta,691854,2020/05/21,396.0,2,57.23750964798931
Atacama,314709,2020/05/21,133.0,3,42.261263580005654
Coquimbo,836096,2020/05/21,167.0,4,19.97378291488059
Valparaíso,1960170,2020/05/21,631.0,5,32.19108546707684
Metropolitana,8125072,2020/05/21,11345.0,13,139.62953189830196
O’Higgins,991063,2020/05/21,102.0,6,10.291979420077231
Maule,1131939,2020/05/21,0.0,7,0.0
Ñuble,511551,2020/05/21,0.0,16,0.0
Biobío,1663696,2020/05/21,1048.0,8,62.992277435300686
Araucanía,1014343,2020/05/21,373.0,9,36.77257101394696
Los Ríos,405835,2020/05/21,219.0,14,53.96281740116057
Los Lagos,891440,2020/05/21,1058.0,10,118.68437584133538
Aysén,107297,2020/05/21,50.0,11,46.59962533901227
Magallanes,178362,2020/05/21,363.0,12,203.51868671578026
Arica y Parinacota,252110,2020/05/22,182.0,15,72.19071040418865
Tarapacá,382773,2020/05/22,342.0,1,89.347994764521
Antofagasta,691854,2020/05/22,259.0,2,37.43564393643746
Atacama,314709,2020/05/22,154.0,3,48.9340946715855
Coquimbo,836096,2020/05/22,202.0,4,24.159905082669933
Valparaíso,1960170,2020/05/22,358.0,5,18.263722024110155
Metropolitana,8125072,2020/05/22,10626.0,13,130.78037954617508
O’Higgins,991063,2020/05/22,115.0,6,11.603702287341974
Maule,1131939,2020/05/22,533.0,7,47.087343045870846
Ñuble,511551,2020/05/22,372.0,16,72.72002205058733
Biobío,1663696,2020/05/22,1135.0,8,68.22159817658995
Araucanía,1014343,2020/05/22,513.0,9,50.574608391835895
Los Ríos,405835,2020/05/22,161.0,14,39.67129498441485
Los Lagos,891440,2020/05/22,928.0,10,104.10122947141704
Aysén,107297,2020/05/22,45.0,11,41.93966280511105
Magallanes,178362,2020/05/22,165.0,12,92.5084939617183
Arica y Parinacota,252110,2020/05/23,157.0,15,62.274404029986904
Tarapacá,382773,2020/05/23,347.0,1,90.65425199792044
Antofagasta,691854,2020/05/23,344.0,2,49.721473027546274
Atacama,314709,2020/05/23,133.0,3,42.261263580005654
Coquimbo,836096,2020/05/23,221.0,4,26.432371402327004
Valparaíso,1960170,2020/05/23,975.0,5,49.740583724881
Metropolitana,8125072,2020/05/23,9725.0,13,119.69124704371852
O’Higgins,991063,2020/05/23,230.0,6,23.20740457468395
Maule,1131939,2020/05/23,332.0,7,29.330202422568707
Ñuble,511551,2020/05/23,283.0,16,55.32195225891456
Biobío,1663696,2020/05/23,1157.0,8,69.54395514565161
Araucanía,1014343,2020/05/23,382.0,9,37.65984484538268
Los Ríos,405835,2020/05/23,170.0,14,41.88894501459953
Los Lagos,891440,2020/05/23,661.0,10,74.14969038858476
Aysén,107297,2020/05/23,6.0,11,5.591955040681473
Magallanes,178362,2020/05/23,116.0,12,65.03627454278377
Arica y Parinacota,252110,2020/05/24,76.0,15,30.14557137757328
Tarapacá,382773,2020/05/24,335.0,1,87.51923463776181
Antofagasta,691854,2020/05/24,224.0,2,32.37677313421618
Atacama,314709,2020/05/24,99.0,3,31.45763228887639
Coquimbo,836096,2020/05/24,227.0,4,27.149992345376607
Valparaíso,1960170,2020/05/24,547.0,5,27.905742869240935
Metropolitana,8125072,2020/05/24,8696.0,13,107.02674388608496
O’Higgins,991063,2020/05/24,0.0,6,0.0
Maule,1131939,2020/05/24,385.0,7,34.01243353219564
Ñuble,511551,2020/05/24,0.0,16,0.0
Biobío,1663696,2020/05/24,1202.0,8,72.24877621873226
Araucanía,1014343,2020/05/24,591.0,9,58.26431493094545
Los Ríos,405835,2020/05/24,206.0,14,50.75954513533825
Los Lagos,891440,2020/05/24,1768.0,10,198.33079063088934
Aysén,107297,2020/05/24,44.0,11,41.0076702983308
Magallanes,178362,2020/05/24,26.0,12,14.577096018210156
Arica y Parinacota,252110,2020/05/25,160.0,15,63.46436079489112
Tarapacá,382773,2020/05/25,365.0,1,95.3567780381584
Antofagasta,691854,2020/05/25,347.0,2,50.15509052487952
Atacama,314709,2020/05/25,83.0,3,26.37357050481556
Coquimbo,836096,2020/05/25,210.0,4,25.11673300673607
Valparaíso,1960170,2020/05/25,575.0,5,29.3341904018529
Metropolitana,8125072,2020/05/25,10330.0,13,127.13733490607837
O’Higgins,991063,2020/05/25,233.0,6,23.510109851745046
Maule,1131939,2020/05/25,286.0,7,25.26637919534533
Ñuble,511551,2020/05/25,573.0,16,112.01229202953373
Biobío,1663696,2020/05/25,1598.0,8,96.05120166184207
Araucanía,1014343,2020/05/25,199.0,9,19.61861027285642
Los Ríos,405835,2020/05/25,157.0,14,38.68567274877721
Los Lagos,891440,2020/05/25,969.0,10,108.70052948039127
Aysén,107297,2020/05/25,13.0,11,12.115902588143191
Magallanes,178362,2020/05/25,185.0,12,103.72164474495688
Arica y Parinacota,252110,2020/05/26,159.0,15,63.06770853992305
Tarapacá,382773,2020/05/26,586.0,1,153.0933477544132
Antofagasta,691854,2020/05/26,218.0,2,31.509538139549672
Atacama,314709,2020/05/26,175.0,3,55.606925763165336
Coquimbo,836096,2020/05/26,214.0,4,25.59514696876914
Valparaíso,1960170,2020/05/26,599.0,5,30.558574001234586
Metropolitana,8125072,2020/05/26,8874.0,13,109.21749370344041
O’Higgins,991063,2020/05/26,112.0,6,11.30099701028088
Maule,1131939,2020/05/26,434.0,7,38.34128870902054
Ñuble,511551,2020/05/26,129.0,16,25.21742700141335
Biobío,1663696,2020/05/26,714.0,8,42.916494359546455
Araucanía,1014343,2020/05/26,353.0,9,34.800851388534255
Los Ríos,405835,2020/05/26,135.0,14,33.264750452770215
Los Lagos,891440,2020/05/26,334.0,10,37.46746836579018
Aysén,107297,2020/05/26,0.0,11,0.0
Magallanes,178362,2020/05/26,48.0,12,26.911561879772595
Arica y Parinacota,252110,2020/05/27,81.0,15,32.12883265241363
Tarapacá,382773,2020/05/27,314.0,1,82.0329542574842
Antofagasta,691854,2020/05/27,165.0,2,23.848962353328883
Atacama,314709,2020/05/27,261.0,3,82.9337578524923
Coquimbo,836096,2020/05/27,138.0,4,16.505281690140844
Valparaíso,1960170,2020/05/27,694.0,5,35.405092415453765
Metropolitana,8125072,2020/05/27,8632.0,13,106.23905855849647
O’Higgins,991063,2020/05/27,0.0,6,0.0
Maule,1131939,2020/05/27,291.0,7,25.708099111347874
Ñuble,511551,2020/05/27,281.0,16,54.930984398427526
Biobío,1663696,2020/05/27,1362.0,8,81.86591781190795
Araucanía,1014343,2020/05/27,471.0,9,46.43399717846922
Los Ríos,405835,2020/05/27,147.0,14,36.22161715968312
Los Lagos,891440,2020/05/27,416.0,10,46.66606838373867
Aysén,107297,2020/05/27,103.0,11,95.99522819836528
Magallanes,178362,2020/05/27,42.0,12,23.54761664480102
Arica y Parinacota,252110,2020/05/28,172.0,15,68.22418785450796
Tarapacá,382773,2020/05/28,360.0,1,94.05052080475896
Antofagasta,691854,2020/05/28,206.0,2,29.775068150216665
Atacama,314709,2020/05/28,178.0,3,56.560187347676745
Coquimbo,836096,2020/05/28,222.0,4,26.551974892835275
Valparaíso,1960170,2020/05/28,898.0,5,45.812353010198095
Metropolitana,8125072,2020/05/28,9000.0,13,110.76824919213023
O’Higgins,991063,2020/05/28,208.0,6,20.987565876235923
Maule,1131939,2020/05/28,547.0,7,48.324158810677964
Ñuble,511551,2020/05/28,323.0,16,63.14130946865513
Biobío,1663696,2020/05/28,1614.0,8,97.01291582115962
Araucanía,1014343,2020/05/28,528.0,9,52.05339811089543
Los Ríos,405835,2020/05/28,206.0,14,50.75954513533825
Los Lagos,891440,2020/05/28,901.0,10,101.072422148434
Aysén,107297,2020/05/28,113.0,11,105.31515326616774
Magallanes,178362,2020/05/28,174.0,12,97.55441181417567
Arica y Parinacota,252110,2020/05/29,90.0,15,35.69870294712625
Tarapacá,382773,2020/05/29,470.0,1,122.78817993954642
Antofagasta,691854,2020/05/29,343.0,2,49.57693386176853
Atacama,314709,2020/05/29,155.0,3,49.251848533089294
Coquimbo,836096,2020/05/29,176.0,4,21.05021432945499
Valparaíso,1960170,2020/05/29,536.0,5,27.34456705285766
Metropolitana,8125072,2020/05/29,9981.0,13,122.84198835407243
O’Higgins,991063,2020/05/29,3.0,6,0.302705277061095
Maule,1131939,2020/05/29,348.0,7,30.74370615377684
Ñuble,511551,2020/05/29,336.0,16,65.68260056182082
Biobío,1663696,2020/05/29,1822.0,8,109.51519989228801
Araucanía,1014343,2020/05/29,514.0,9,50.67319437310654
Los Ríos,405835,2020/05/29,223.0,14,54.94843963679821
Los Lagos,891440,2020/05/29,939.0,10,105.33518801041012
Aysén,107297,2020/05/29,51.0,11,47.53161784579252
Magallanes,178362,2020/05/29,346.0,12,193.98750855002748
Arica y Parinacota,252110,2020/05/30,243.0,15,96.38649795724089
Tarapacá,382773,2020/05/30,565.0,1,147.60706737413557
Antofagasta,691854,2020/05/30,501.0,2,72.41412205465315
Atacama,314709,2020/05/30,83.0,3,26.37357050481556
Coquimbo,836096,2020/05/30,248.0,4,29.661665646050213
Valparaíso,1960170,2020/05/30,871.0,5,44.4349214608937
Metropolitana,8125072,2020/05/30,9996.0,13,123.02660210272599
O’Higgins,991063,2020/05/30,193.0,6,19.474039490930444
Maule,1131939,2020/05/30,439.0,7,38.78300862502308
Ñuble,511551,2020/05/30,0.0,16,0.0
Biobío,1663696,2020/05/30,1566.0,8,94.12777334320694
Araucanía,1014343,2020/05/30,673.0,9,66.34836539513755
Los Ríos,405835,2020/05/30,198.0,14,48.78830066406298
Los Lagos,891440,2020/05/30,1013.0,10,113.63636363636363
Aysén,107297,2020/05/30,89.0,11,82.94733310344185
Magallanes,178362,2020/05/30,136.0,12,76.24942532602236
Arica y Parinacota,252110,2020/05/31,137.0,15,54.341358930625525
Tarapacá,382773,2020/05/31,472.0,1,123.3106828329062
Antofagasta,691854,2020/05/31,379.0,2,54.78034382976755
Atacama,314709,2020/05/31,126.0,3,40.036986549479046
Coquimbo,836096,2020/05/31,359.0,4,42.93765309246785
Valparaíso,1960170,2020/05/31,714.0,5,36.42541208160517
Metropolitana,8125072,2020/05/31,11821.0,13,145.48794152224127
O’Higgins,991063,2020/05/31,174.0,6,17.55690606954351
Maule,1131939,2020/05/31,471.0,7,41.61001608743934
Ñuble,511551,2020/05/31,345.0,16,67.44195593401244
Biobío,1663696,2020/05/31,1500.0,8,90.16070243602196
Araucanía,1014343,2020/05/31,473.0,9,46.63116914101049
Los Ríos,405835,2020/05/31,188.0,14,46.32424507496889
Los Lagos,891440,2020/05/31,1711.0,10,191.93664183792515
Aysén,107297,2020/05/31,71.0,11,66.17146798139743
Magallanes,178362,2020/05/31,179.0,12,100.35769950998531
Arica y Parinacota,252110,2020/06/01,0.0,15,0.0
Tarapacá,382773,2020/06/01,445.0,1,116.25689377254926
Antofagasta,691854,2020/06/01,247.0,2,35.701173947104444
Atacama,314709,2020/06/01,289.0,3,91.83086597459877
Coquimbo,836096,2020/06/01,177.0,4,21.16981781996326
Valparaíso,1960170,2020/06/01,587.0,5,29.94638220154374
Metropolitana,8125072,2020/06/01,11285.0,13,138.89107690368775
O’Higgins,991063,2020/06/01,196.0,6,19.77674476799154
Maule,1131939,2020/06/01,0.0,7,0.0
Ñuble,511551,2020/06/01,639.0,16,124.91423142560566
Biobío,1663696,2020/06/01,1295.0,8,77.83873976976564
Araucanía,1014343,2020/06/01,491.0,9,48.40571680388192
Los Ríos,405835,2020/06/01,114.0,14,28.090233715672625
Los Lagos,891440,2020/06/01,994.0,10,111.50498070537557
Aysén,107297,2020/06/01,24.0,11,22.36782016272589
Magallanes,178362,2020/06/01,107.0,12,59.990356690326415
Arica y Parinacota,252110,2020/06/02,-,15,-
Tarapacá,382773,2020/06/02,-,1,-
Antofagasta,691854,2020/06/02,-,2,-
Atacama,314709,2020/06/02,-,3,-
Coquimbo,836096,2020/06/02,-,4,-
Valparaíso,1960170,2020/06/02,-,5,-
Metropolitana,8125072,2020/06/02,-,13,-
O’Higgins,991063,2020/06/02,-,6,-
Maule,1131939,2020/06/02,-,7,-
Ñuble,511551,2020/06/02,-,16,-
Biobío,1663696,2020/06/02,-,8,-
Araucanía,1014343,2020/06/02,-,9,-
Los Ríos,405835,2020/06/02,-,14,-
Los Lagos,891440,2020/06/02,-,10,-
Aysén,107297,2020/06/02,-,11,-
Magallanes,178362,2020/06/02,-,12,-
Arica y Parinacota,252110,2020/06/03,-,15,-
Tarapacá,382773,2020/06/03,-,1,-
Antofagasta,691854,2020/06/03,-,2,-
Atacama,314709,2020/06/03,-,3,-
Coquimbo,836096,2020/06/03,-,4,-
Valparaíso,1960170,2020/06/03,-,5,-
Metropolitana,8125072,2020/06/03,-,13,-
O’Higgins,991063,2020/06/03,-,6,-
Maule,1131939,2020/06/03,-,7,-
Ñuble,511551,2020/06/03,-,16,-
Biobío,1663696,2020/06/03,-,8,-
Araucanía,1014343,2020/06/03,-,9,-
Los Ríos,405835,2020/06/03,-,14,-
Los Lagos,891440,2020/06/03,-,10,-
Aysén,107297,2020/06/03,-,11,-
Magallanes,178362,2020/06/03,-,12,-
Arica y Parinacota,252110,2020/06/04,-,15,-
Tarapacá,382773,2020/06/04,-,1,-
Antofagasta,691854,2020/06/04,-,2,-
Atacama,314709,2020/06/04,-,3,-
Coquimbo,836096,2020/06/04,-,4,-
Valparaíso,1960170,2020/06/04,-,5,-
Metropolitana,8125072,2020/06/04,-,13,-
O’Higgins,991063,2020/06/04,-,6,-
Maule,1131939,2020/06/04,-,7,-
Ñuble,511551,2020/06/04,-,16,-
Biobío,1663696,2020/06/04,-,8,-
Araucanía,1014343,2020/06/04,-,9,-
Los Ríos,405835,2020/06/04,-,14,-
Los Lagos,891440,2020/06/04,-,10,-
Aysén,107297,2020/06/04,-,11,-
Magallanes,178362,2020/06/04,-,12,-
Arica y Parinacota,252110,2020/06/05,-,15,-
Tarapacá,382773,2020/06/05,-,1,-
Antofagasta,691854,2020/06/05,-,2,-
Atacama,314709,2020/06/05,-,3,-
Coquimbo,836096,2020/06/05,-,4,-
Valparaíso,1960170,2020/06/05,-,5,-
Metropolitana,8125072,2020/06/05,-,13,-
O’Higgins,991063,2020/06/05,-,6,-
Maule,1131939,2020/06/05,-,7,-
Ñuble,511551,2020/06/05,-,16,-
Biobío,1663696,2020/06/05,-,8,-
Araucanía,1014343,2020/06/05,-,9,-
Los Ríos,405835,2020/06/05,-,14,-
Los Lagos,891440,2020/06/05,-,10,-
Aysén,107297,2020/06/05,-,11,-
Magallanes,178362,2020/06/05,-,12,-
Arica y Parinacota,252110,2020/06/06,-,15,-
Tarapacá,382773,2020/06/06,-,1,-
Antofagasta,691854,2020/06/06,-,2,-
Atacama,314709,2020/06/06,-,3,-
Coquimbo,836096,2020/06/06,-,4,-
Valparaíso,1960170,2020/06/06,-,5,-
Metropolitana,8125072,2020/06/06,-,13,-
O’Higgins,991063,2020/06/06,-,6,-
Maule,1131939,2020/06/06,-,7,-
Ñuble,511551,2020/06/06,-,16,-
